"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.721975570E-1,1.309376955E-2,2.138033509E-2,1.377658844E-1,1.400285843E-1
7.769278700E-1,2.003908157E-2,5.914125592E-2,6.068611145E-2,8.707500827E-2
7.816581300E-1,1.980827749E-2,8.232284337E-2,-2.286911011E-2,8.770641137E-2
7.863884420E-1,2.915446460E-2,7.926487923E-2,-6.064510345E-2,1.039746722E-1
7.911187030E-1,4.082320631E-2,8.340640366E-2,1.104640961E-2,9.351569660E-2
7.958490150E-1,5.002222955E-2,6.135636568E-2,9.875106812E-2,1.265646100E-1
8.005792760E-1,6.855221093E-2,3.954605013E-2,9.555721283E-2,1.240744802E-1
8.053095880E-1,5.610823631E-2,4.870898277E-2,1.351003647E-1,1.541843303E-1
8.100398490E-1,1.772227883E-2,4.824806005E-2,7.464981079E-2,9.063414763E-2
8.147701610E-1,1.759473979E-2,3.589919209E-2,1.072463989E-1,1.144557423E-1
8.195004740E-1,1.984073222E-2,2.125170827E-2,8.262252808E-2,8.758865169E-2
8.242307340E-1,1.966711879E-2,1.861869544E-2,8.667755127E-2,9.080996242E-2
8.289610470E-1,2.658519149E-2,6.515458226E-3,6.697273254E-2,7.235033177E-2
8.336913070E-1,3.816336393E-2,4.032596946E-3,4.268646240E-2,5.740068168E-2
8.384216200E-1,2.828910947E-2,-7.921084762E-3,-2.410984039E-2,3.800396956E-2
8.431519320E-1,2.798949182E-2,-1.265524328E-2,3.066921234E-2,4.340699737E-2
8.478821920E-1,1.111060381E-2,8.724376559E-3,7.075309753E-2,7.214957432E-2
8.526125050E-1,1.103855669E-2,1.334366202E-2,3.694152832E-2,4.079925937E-2
8.573427650E-1,3.904059529E-3,1.789582521E-2,3.410339355E-3,1.863149632E-2
8.620730780E-1,-7.985085249E-4,1.774764806E-2,-2.983951569E-2,3.472770254E-2
8.668033900E-1,-3.143802285E-3,-3.725320101E-3,7.244300842E-2,7.260682456E-2
8.715336510E-1,-1.264500618E-2,-1.321218908E-2,7.421207428E-2,7.643225818E-2
8.762639630E-1,-1.503200829E-2,-2.736516297E-2,1.946125031E-1,1.971010902E-1
8.809942240E-1,-3.635460138E-2,-1.532712579E-2,1.170606613E-1,1.235304669E-1
8.857245360E-1,-1.953297853E-2,-1.522518694E-2,-9.676933289E-3,2.658921973E-2
8.904547970E-1,-2.884118259E-2,-1.515211165E-2,-1.495981216E-1,1.531045339E-1
8.951851090E-1,-2.380570769E-2,3.960683942E-3,-2.053003311E-1,2.067138716E-1
8.999154220E-1,-2.355754375E-2,-1.262235641E-2,-1.371498108E-1,1.397295686E-1
9.046456820E-1,-3.520509601E-2,-4.813620448E-2,-5.532932281E-2,8.135002723E-2
9.093759950E-1,-1.833699644E-2,-7.148966193E-2,-9.783744812E-3,7.444957262E-2
9.141062550E-1,7.078051567E-4,-8.512838185E-2,-2.868270874E-2,8.983340228E-2
9.188365670E-1,2.199399471E-2,-8.444540203E-2,-1.020021439E-1,1.342356103E-1
9.235668280E-1,2.848193049E-3,-3.153607249E-2,-1.367454529E-1,1.403636525E-1
9.282971400E-1,-1.605403423E-2,-5.253329873E-3,-8.815193176E-2,8.975573833E-2
9.330274530E-1,-1.581613719E-2,1.606398821E-2,-7.792854309E-2,8.112373106E-2
9.377577130E-1,-8.489176631E-3,-7.618218660E-4,-8.677387238E-2,8.719146414E-2
9.424880260E-1,-1.317121089E-2,-2.691030502E-2,-1.216449738E-1,1.252802656E-1
9.472182860E-1,3.513708711E-3,-4.323741794E-2,-1.728324890E-1,1.781934054E-1
9.519485990E-1,2.946677804E-2,-4.521979392E-2,-1.405420303E-1,1.505496033E-1
9.566789110E-1,5.373477936E-3,-2.111129463E-2,-6.106281281E-2,6.483230779E-2
9.614091720E-1,-1.852914691E-3,-2.096049488E-2,-1.546955109E-2,2.611671207E-2
9.661394840E-1,-3.029066324E-2,1.475492120E-2,1.550579071E-2,3.708991136E-2
9.708697450E-1,-2.047018707E-2,3.593418002E-2,-3.608703613E-3,4.151284854E-2
9.756000570E-1,-2.499683201E-2,1.659794152E-2,-2.968215942E-2,4.220620643E-2
9.803303170E-1,-8.185371757E-3,1.408956945E-2,-4.604434967E-2,4.884258812E-2
9.850606300E-1,8.402094245E-3,-3.108178079E-2,-4.328441620E-2,5.394638978E-2
9.897909420E-1,-3.689999878E-2,-4.031208158E-2,1.640033722E-2,5.705825875E-2
9.945212030E-1,-1.119002700E-3,-5.183897913E-2,-4.068279266E-2,6.590615709E-2
9.992515150E-1,-1.173466444E-3,-3.487913311E-2,-9.495735168E-3,3.616766423E-2
1.003981776E0,8.320435882E-3,-2.749557793E-2,-7.348442078E-2,7.889991480E-2
1.008712088E0,1.298859715E-2,-2.023075521E-2,4.339885712E-2,4.961298128E-2
1.013442349E0,3.422802687E-2,-3.669936955E-2,5.727386475E-2,7.614917683E-2
1.018172661E0,2.444301546E-2,-3.404766321E-2,1.469659805E-1,1.528257302E-1
1.022902974E0,2.652043104E-2,-1.960898936E-2,6.269264221E-2,7.083934721E-2
1.027633234E0,9.625881910E-3,-3.136375546E-2,6.217098236E-2,7.029632855E-2
1.032363547E0,1.668488979E-2,-2.163660526E-2,-2.614593506E-2,3.781716746E-2
1.037093807E0,-9.507730603E-3,2.365804464E-2,-8.050537109E-2,8.444652031E-2
1.041824120E0,-3.782698512E-2,2.580739558E-2,9.338378906E-2,1.040068965E-1
1.046554432E0,-1.144586504E-2,-1.237219572E-2,1.305723190E-1,1.316556476E-1
1.051284692E0,-4.378333688E-3,-7.491871715E-3,1.722002029E-1,1.724186992E-1
1.056015005E0,1.212140918E-2,-2.624839544E-3,1.280574799E-1,1.286566613E-1
1.060745265E0,2.382141352E-2,2.118405700E-2,9.851837158E-2,1.035475425E-1
1.065475578E0,-1.200531423E-2,2.341125160E-2,9.295272827E-2,9.660447176E-2
1.070205890E0,-7.166504860E-3,1.844525337E-2,6.844902039E-2,7.125204948E-2
1.074936151E0,5.289912224E-6,2.304079384E-2,4.414939880E-2,4.980007654E-2
1.079666463E0,-1.421104372E-2,1.467689872E-3,7.225513458E-2,7.365400431E-2
1.084396724E0,-2.361916006E-2,-2.704426646E-2,4.673004150E-4,3.590926677E-2
1.089127036E0,2.587944269E-3,-3.630821407E-2,1.707458496E-2,4.020603582E-2
1.093857297E0,-1.650767028E-2,-3.600279987E-2,3.354454041E-2,5.190318841E-2
1.098587609E0,-3.776104748E-2,-2.383551002E-2,2.852058411E-2,5.298539386E-2
1.103317922E0,5.403310061E-4,4.811912775E-3,8.760356903E-2,8.773728836E-2
1.108048182E0,1.473855972E-2,3.559476882E-2,3.822326660E-3,3.871463407E-2
1.112778495E0,-1.154983044E-2,2.818109840E-2,-1.756286621E-2,3.515717793E-2
1.117508755E0,-1.623433828E-2,1.842957735E-2,1.343154907E-2,2.799302719E-2
1.122239067E0,-1.373231411E-2,3.011651337E-2,1.153535843E-1,1.200084590E-1
1.126969328E0,-2.314484119E-2,1.337155700E-3,1.404943466E-1,1.423942874E-1
1.131699640E0,1.255021989E-2,1.316528022E-2,2.305412292E-2,2.936537428E-2
1.136429953E0,1.000972092E-2,2.966859937E-2,-9.103488922E-2,9.626926486E-2
1.141160213E0,5.172699690E-3,5.789753050E-2,-1.567173004E-1,1.671502112E-1
1.145890526E0,2.805292606E-3,5.269952118E-2,-8.897113800E-2,1.034455054E-1
1.150620786E0,-1.846985519E-2,2.850511670E-2,5.414104462E-2,6.391345665E-2
1.155351099E0,-2.544201910E-2,4.512965679E-3,1.296224594E-1,1.321727853E-1
1.160081411E0,3.153532743E-3,6.823062897E-3,1.166791916E-1,1.169210533E-1
1.164811672E0,5.381077528E-3,2.337923646E-2,8.723545074E-2,9.047413199E-2
1.169541984E0,-8.936524391E-3,5.166120827E-2,1.532268524E-2,5.462166778E-2
1.174272245E0,-3.499880433E-2,3.456735611E-2,3.330230713E-3,4.930424778E-2
1.179002557E0,-2.991198003E-2,2.233432233E-2,-7.975006104E-2,8.805464632E-2
1.183732870E0,-5.094248056E-2,-1.691088080E-3,-8.858013153E-2,1.021980225E-1
1.188463130E0,-1.967833936E-2,2.908805013E-2,-1.685209274E-1,1.721413799E-1
1.193193442E0,-1.003068686E-2,2.170057595E-2,-1.671161652E-1,1.688174823E-1
1.197923703E0,1.131778955E-2,-9.268894792E-3,-1.847038269E-1,1.852822400E-1
1.202654015E0,-1.254078746E-2,-4.471674562E-3,-9.774017334E-2,9.864283404E-2
1.207384276E0,-2.187968791E-2,1.449424028E-2,2.734184265E-3,2.638710874E-2
1.212114588E0,-4.537846148E-2,4.991166294E-2,6.202983856E-2,9.164103740E-2
1.216844901E0,-3.786234558E-2,4.946807027E-2,5.913925171E-2,8.589585718E-2
1.221575161E0,1.693759859E-2,3.241924942E-2,-1.965618134E-2,4.152415494E-2
1.226305474E0,1.902064681E-2,1.788412780E-2,-9.542179108E-2,9.892899092E-2
1.231035734E0,6.793901324E-3,1.126497984E-3,-1.800460815E-1,1.801777388E-1
1.235766047E0,4.216581583E-3,1.061020792E-2,-1.737966537E-1,1.741712747E-1
1.240496359E0,-1.715394855E-2,-1.085993648E-2,-1.699762344E-1,1.711844515E-1
1.245226620E0,-2.696841955E-3,8.160486817E-3,-1.780548096E-1,1.782621152E-1
1.249956932E0,-1.680719852E-2,2.947861701E-2,-5.318164825E-2,6.308532709E-2
1.254687192E0,-1.190045476E-2,7.907822728E-3,-3.850173950E-2,4.106748627E-2
1.259417505E0,9.519219398E-3,1.499076188E-2,-1.207828522E-2,2.147611355E-2
1.264147765E0,9.320124984E-3,3.058955073E-3,-1.671981812E-2,1.938489757E-2
1.268878078E0,3.287987411E-2,-1.583547890E-2,5.698204041E-2,6.766684153E-2
1.273608338E0,1.584836841E-2,-3.222756088E-2,1.324443817E-1,1.372271865E-1
1.278338651E0,3.457997739E-2,-5.093987286E-2,9.100437164E-2,1.098746611E-1
1.283068963E0,3.900215030E-2,-7.945448160E-4,-7.110977173E-2,8.110732806E-2
1.287799224E0,1.971501112E-2,3.709710389E-2,-2.081470490E-1,2.123442271E-1
1.292529536E0,1.731066406E-2,1.537892222E-2,-2.491283417E-1,2.502021202E-1
1.297259797E0,3.005549312E-3,-1.413136721E-3,-2.541732788E-1,2.541949762E-1
1.301990109E0,2.673025429E-2,-1.800866425E-2,-1.737499237E-1,1.767140472E-1
1.306720422E0,2.641658485E-2,-2.734728158E-2,-1.452445984E-3,3.805022160E-2
1.311450682E0,1.184068620E-2,1.330733299E-3,8.161258698E-2,8.247779734E-2
1.316180995E0,4.532441497E-3,6.040304899E-3,1.402559280E-1,1.404590818E-1
1.320911255E0,-1.220603287E-2,-5.926877260E-3,7.976627350E-2,8.091213444E-2
1.325641567E0,-9.738072753E-3,-1.240104437E-3,5.537033081E-2,5.623381059E-2
1.330371828E0,6.974607706E-3,1.767288893E-2,1.219654083E-2,2.257723996E-2
1.335102140E0,-2.092123032E-4,3.645559400E-2,-3.773689270E-2,5.247025038E-2
1.339832453E0,-1.207892597E-2,1.948854327E-2,-7.301712036E-2,7.653236987E-2
1.344562713E0,-1.913191378E-2,2.899914980E-4,-4.156112671E-2,4.575414160E-2
1.349293026E0,-2.146388590E-2,-3.301317990E-2,-4.121303558E-2,5.700072585E-2
1.354023286E0,-1.422895491E-2,-2.089813352E-2,-4.086875916E-2,4.805674372E-2
1.358753599E0,-4.499287903E-2,1.953399181E-2,2.354049683E-2,5.440671825E-2
1.363483859E0,-4.462419450E-2,1.220075786E-2,5.656337738E-2,7.307251801E-2
1.368214172E0,-8.721679449E-3,7.300883532E-3,1.225337982E-1,1.230605635E-1
1.372944484E0,-1.649275422E-3,-1.174017787E-2,1.713457108E-1,1.717553623E-1
1.377674745E0,-4.155725241E-3,-4.248760641E-2,1.794128418E-1,1.844218928E-1
1.382405057E0,-3.980571032E-2,-4.218727350E-2,1.352071762E-1,1.471232175E-1
1.387135317E0,-3.001751006E-2,-3.248122334E-2,7.950305939E-2,9.097701485E-2
1.391865630E0,-3.923837841E-2,-1.093633473E-2,-2.794170380E-2,4.939628092E-2
1.396595890E0,-4.829807580E-2,-2.041782439E-2,-1.036443710E-1,1.161539811E-1
1.401326203E0,-7.389242947E-2,1.083105803E-3,-8.380031586E-2,1.117307352E-1
